ID,Stewed,Prune,Dried,Mixed,Apple,Banana,Berry,Cherry,Grapefruit,Grape,Mango,Melon,Orange,Satsuma,Peach_nectarine,Pear,Pineapple,Plum,Other,Bakedbean,Pulses,Mixedvegetable,Vegetablepieces,Coleslaw,Sidesalad,Avocado,Broadbean,Greenbean,Beetroot,Broccoli,Butternutsquash,Cabbage_kale,Carrot,Cauliflower,Celery,Courgette,Cucumber,Garlic,Leek,Lettuce,Mushroom,Onion,Parsnip,Pea,Sweetpepper,Spinach,Sprouts,Sweetcorn,Freshtomato,Tinnedtomato,Turnip_swede,Watercress,Othervegetables
1005131,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,
1005159,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,,1,,,,,,
1005209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1
1005215,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,0.5,,
1005264,,,,,,,,,0.5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,
1005329,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,0.25,,,0.25,,,,,,,,
1005722,,,,,0.5,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,0.25,,,,,,,,,,,
1005737,,,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,0.5,,,0.5,,,0.25,,,,,,,,,,,,,,,,,
1005847,,,0.5,2,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006019,,,,,,0.5,,,,,,,,,,0.5,,,,,1,,1,,,,,,1,,,,,,,,,,,,0.25,0.25,,,0.25,,,,1,,,,
1006022,1,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,1,,,,1,1,,,,,,,,,,1,,,,,,3,,,,
1006061,,,0.5,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,
1006362,,,,,,,1,,,,,,1,,1,,,,,,1,,1,,1,,,1,,1,,,1,1,,,,,,,0.5,0.5,,,0.25,,,,0.5,,,,0.5
1006398,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.5,,,1,,,,,,,,,1,,,0.25,
1006549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,1,,,,
1006636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006681,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0.5,,,
1006959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006986,0.5,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
1007184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007202,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,1,,,,
1007436,1,,,,1,1,,,,,,,,,,1,1,,,,0.5,,,,1,,,,,,,1,,,,,,,,1,,,,,,1,,,,1,,,
1007606,1,,,,1,,,,,0.5,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007886,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007956,,,,1,,1,1,,,,,,,,1,,,0.5,0.5,,,,,,1,,,,1,,,,,,,,0.5,,,1,,0.5,,,,,,,1,,,0.25,
1008078,,,0.5,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,1,1,,,1,,,,,,,,,1,,,,
1008179,,,,,,,1,,,,,,1,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,0.25,,,,,,0.25,,,1,,,0.25,
1008198,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008219,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1008323,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,
1008334,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008349,,,,,2,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008380,,,,,1,,,,,0.5,,,,,,,,,,,,0.25,,,,,,,,,0.25,,,,,,0.25,,,,,,,,,,,,0.25,,,,
1008568,,,,,1,1,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008704,,,,,,1,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008974,,,,,1,1,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,3,,,,
1009146,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009315,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1009499,,,,,,2,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009513,1,,0.5,,2,1,,,,,,,,1,,,,,,,,,1,,2,,,,1,,,0.5,,,,0.5,0.25,0.25,,,,0.5,,,,,,,0.5,,,,
1009577,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
1009698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1009754,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,0.5,,,,,,,,,0.5,,,,,,,0.5,
1010062,,,,0.5,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,0.25,,0.25,,,,,,,,,,,,,,,,,,
1010111,,,,,,,,,,0.5,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,1,,,,,0.25,0.25,,,,,,,,
1010234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010322,,,,,1,1,,,,0.5,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,
1010348,,,,,1,2,0.5,,,,1,,,,,,,,,,3,,,,3,,,,1,,,1,0.5,,,,,,,1,1,1,,,0.5,,,,0.5,,,0.25,0.5
1010350,,,,,,1,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,0.5,,,,0.25,,,2,,,,,0.25,,,
1010458,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,0.5,,,,,,,1,,,,0.25,,,0.5,,,,,,,,,2,,,,
1010707,,,,,1,,,,1,,,,1,,,,,,,1,,1,,,1,,,,,,,,1,,,1,,1,,1,,0.25,,1,0.25,,,0.25,1,1,,,
1010733,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,
1010810,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010928,1,,,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011045,,,,,,1,,,,0.5,,,,1,,,,,,,,,,,0.25,,,,,,,,,,,,,,0.5,,1,,,,,,,,,,,,
1011074,,,,,,1,,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,0.25,1,,,,,,,,0.25,,,,1,,,,
1011176,,,,,,1,0.5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1011404,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011489,,,,,,1,,0.5,,,,,1,1,,,0.5,,,,,,0.25,,,,,,,,,,,,,,,,,1,,0.25,,,1,,,,0.5,,,,0.5
1011509,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,
1011564,,,,,,3,0.5,,,,,,,,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011623,,,,,0.5,0.5,,,,,,,0.5,,,,,,0.5,1,,,,,,,,,0.25,0.5,,0.5,0.25,,,,,,,,,0.25,,,,0.25,0.25,,,0.5,,,
1011882,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,0.25,0.25,,,,0.25,,,,,,,1,,,,
1012022,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,2,0.5,,,,,,,0.5,,,,,0.5,,,,,,,,
1012037,,,,3,1,1,1,,,3,,2,1,3,,3,,,,1,1,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,
1012238,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
1012246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012417,,,,,,1,2,,,,,,,,1,,1,,1,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,
1012425,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012502,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
1012534,,,,,1,1,1,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
1012609,,,,,1,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012642,,,1,,1,1,,,,,,,,,,,1,,,,,0.25,0.5,,,,,,,0.25,0.25,,,,,,,,,,,,,,0.25,,,,0.25,0.5,,,
1012813,,,,,,1,,,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1013006,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013082,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0.5,,,,1,,,,
1013136,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0.25,0.5,,,1,,,,1,,,,
1013332,,,0.5,0.5,,,,,,,,,,,,,,,,,1,,,0.25,0.25,,,,,,,0.5,,,,,0.5,0.5,,0.5,,0.5,,,,0.25,,,0.25,0.25,,,
1013450,,,,,,1,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,0.25,,,0.5,,,,,,1,,,,,,
1013461,,,,,1,2,,,2,,,,1,,,,,,,,,,,,2,,,,,2,,,2,,,,,,,,,,,,,,,,1,,,,
1013485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,1,,,1,1,,,,
1013660,,,,,,1,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,
1013780,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,0.25,0.25,1,,,,,,0.5,,0.5,,
1013853,,,,1,1,2,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,
1013983,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014237,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1014261,,,,,,0.5,,,,,,,,1,,,,,,,,,,,1,,,,,0.5,,,,,,,,,,0.5,0.5,0.5,,,0.5,,,,0.5,,,,
1014323,,,0.5,,0.5,,,,,,,,0.5,,,1,,,,,0.25,,,,0.25,,,1,,,,,,,,,0.25,,,0.25,,,,,,,,,1,,,,
1014355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014486,,,,,1,1,,,,3,,,1,,,,3,,,,1,,,,1,1,,,,,,,,,,,1,,,1,,,,,,1,,,1,,,,
1014525,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014568,,,,,1,,1,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,
1014638,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.25,,,,,,,,
1014683,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014789,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1014815,1,,,,,,,,,0.5,,,1,,,,,,,,,,,,,,,1,,,,0.5,1,1,,,,,,,,0.25,,,,,,,,,,,
1014842,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014912,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1014929,1,,,,1,,,,,2,,,,,,,,,,,0.5,,,,2,,,,1,,,,,,2,,1,,,1,,1,,,,,,,2,,,,
1014960,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1014974,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015032,,,,,,1,1,0.5,,0.5,,,,,,,,0.5,,,,0.5,0.25,,0.5,,,,,,,,,,,,0.25,,,0.5,,0.25,,,0.25,,,,0.5,,,,
1015166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015373,,,,,1,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,1,,,0.25,,,0.5,,,,0.25,,,,0.25
1015460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,
1015531,,,,,,1,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015559,,,,,,1,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.25,,,,,0.25,,,0.25,,,,0.25,,,,
1015770,1,,,,,1,,,,,,,,2,,,,3,2,0.5,,,,,,,,1,1,1,,1,1,1,,1,,,,,1,,,1,1,,,,,,,,
1015801,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015962,,,0.5,,,,2,,,,,,,,,,1,,,,,1,,,,,,,,1,,,0.5,,0.5,,,0.5,,,0.5,0.5,0.5,,,,,,,,,,
1016009,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016070,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,0.5,,,,,2,,,,,,,,,,,,,,,,,,,,1
1016204,,,,,1,,,,,1,,,,1,,,,,,,,,,,0.5,,,,,,,,1,1,,,,0.5,,0.25,,,,,,,,,,,,,
1016310,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.25,,,0.25,,,,,,,,,1,,,,1
1016453,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,
1016507,,,,,1,1,0.5,,,,,,,,,,,,,,,1,,,,,,1,,,,,0.5,,,,,,,,0.25,0.25,,,0.25,,,1,,0.5,,,
1016701,,,,,,,,,,,,,,0.5,,,,,,,,,2,,,,,,,1,,,2,,,,,,,,,,,0.25,,,,,,,,,
1016746,,,,,1,1,,,,1,,,,1,,1,,,,,,,,,1,,,,1,,,1,1,,0.5,,,0.25,,,,,,,,1,,,1,,,,
1016795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,
1017010,,,,0.5,1,,0.5,,,,,,,,,,,,,,,,0.5,,1,,0.25,,,,,,0.25,,,,,,,,,0.25,,0.25,0.5,0.25,,,1,,,,1
1017114,,,,,,,,,,,,,,,,,,,,,0.25,0.5,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017336,,,,,,1,0.5,,,,,,,,,,,,,1,,,,,,,,0.5,,0.25,,,0.25,,,,,,,,,,,0.25,,,,,,,,,
1017556,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,1,,,,,,,0.5,,,,,,,,,1,,,,
1017621,,,,,1,0.5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1017782,,,,,1,,1,,,0.5,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.25,,,,,,,,0.25,,,,1,,,,
1017897,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1017950,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,0.5,,,,,,,,,,,,,1,0.25,,,1
1017994,,,0.5,,,,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,1,
1018072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.25,,,,
1018215,,,,,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018293,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
1018388,1,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1018423,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018544,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1018553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,,,,1,,,,,,,1,,,,
1018613,,,,,,0.5,,,,0.5,,,,,,,0.5,,,,,,,,1,,,,0.25,,,,,,,,0.25,,,0.5,,,,,,,,,0.25,,,,
1018628,,,,,,,1,,,0.5,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,0.5,0.5,,0.5,,1,,,,,0.5,,,,1,,,,
1018632,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,
